nohup: ignoring input
======user config========
{'Erase': True,
 'activation': 'ReLU',
 'activation_positive': True,
 'batchsize': 128,
 'datapath': 'default',
 'download': False,
 'log_name': 'use erase',
 'loss': 'CrossEntropyLoss',
 'loss_positive': True,
 'lr': 0.01,
 'max_epoch': 200,
 'mode': 'train',
 'model_chosen': 'simp_ResNet9',
 'num_classes': 10,
 'opt': 'SGD',
 'plot_every_n_loop': 1,
 'scheduler': 'CyclicLR',
 'show_net': False,
 'visualize': True,
 'weight_decay': 0.0005}
==========end============
数据集位置:  /remote-home/jiaxinghua/NNDL_PJ2
Load Time Cost: 6.0648181438446045
==> Building model simp_ResNet9..
==> training ..

 |          | ?, ?it/s 
[epoch 1/200] loss:1.60, lr:0.10500, trainacc=47.89, testacc=49.42 |          | ?, ?it/s 2022-04-27 19:08:08.631477: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda-10.1/lib64:/usr/local/cuda-10.1/lib64:
2022-04-27 19:08:08.631803: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.

[epoch 1/200] loss:1.60, lr:0.10500, trainacc=47.89, testacc=49.42 |          | 1:19:37, 24.01s/it 
[epoch 2/200] loss:1.40, lr:0.20000, trainacc=56.46, testacc=59.94 |          | 1:19:37, 24.01s/it 
[epoch 2/200] loss:1.40, lr:0.20000, trainacc=56.46, testacc=59.94 |          | 1:16:49, 23.28s/it 
[epoch 3/200] loss:1.08, lr:0.18813, trainacc=55.31, testacc=57.98 |          | 1:16:49, 23.28s/it 
[epoch 3/200] loss:1.08, lr:0.18813, trainacc=55.31, testacc=57.98 |▏         | 1:14:32, 22.70s/it 
[epoch 4/200] loss:0.93, lr:0.17625, trainacc=66.22, testacc=68.65 |▏         | 1:14:32, 22.70s/it 
[epoch 4/200] loss:0.93, lr:0.17625, trainacc=66.22, testacc=68.65 |▏         | 1:20:30, 24.64s/it 
[epoch 5/200] loss:0.83, lr:0.16438, trainacc=71.78, testacc=75.23 |▏         | 1:20:30, 24.64s/it 
[epoch 5/200] loss:0.83, lr:0.16438, trainacc=71.78, testacc=75.23 |▎         | 1:26:45, 26.69s/it 
[epoch 6/200] loss:0.78, lr:0.15250, trainacc=72.23, testacc=75.46 |▎         | 1:26:45, 26.69s/it 
[epoch 6/200] loss:0.78, lr:0.15250, trainacc=72.23, testacc=75.46 |▎         | 1:32:28, 28.60s/it 
[epoch 7/200] loss:0.74, lr:0.14063, trainacc=74.75, testacc=78.34 |▎         | 1:32:28, 28.60s/it 
[epoch 7/200] loss:0.74, lr:0.14063, trainacc=74.75, testacc=78.34 |▎         | 1:36:14, 29.92s/it 
[epoch 8/200] loss:0.71, lr:0.12875, trainacc=72.55, testacc=75.92 |▎         | 1:36:14, 29.92s/it 
[epoch 8/200] loss:0.71, lr:0.12875, trainacc=72.55, testacc=75.92 |▍         | 1:38:44, 30.86s/it 
[epoch 9/200] loss:0.67, lr:0.11687, trainacc=74.42, testacc=77.31 |▍         | 1:38:44, 30.86s/it 
[epoch 9/200] loss:0.67, lr:0.11687, trainacc=74.42, testacc=77.31 |▍         | 1:40:55, 31.71s/it 
[epoch 10/200] loss:0.65, lr:0.10500, trainacc=74.75, testacc=78.81 |▍         | 1:40:55, 31.71s/it 
[epoch 10/200] loss:0.65, lr:0.10500, trainacc=74.75, testacc=78.81 |▌         | 1:41:59, 32.21s/it 
[epoch 11/200] loss:0.63, lr:0.09312, trainacc=75.76, testacc=78.96 |▌         | 1:41:59, 32.21s/it 
[epoch 11/200] loss:0.63, lr:0.09312, trainacc=75.76, testacc=78.96 |▌         | 1:42:23, 32.51s/it 
[epoch 12/200] loss:0.59, lr:0.08125, trainacc=78.10, testacc=80.72 |▌         | 1:42:23, 32.51s/it 
[epoch 12/200] loss:0.59, lr:0.08125, trainacc=78.10, testacc=80.72 |▌         | 1:42:13, 32.62s/it 
[epoch 13/200] loss:0.57, lr:0.06937, trainacc=79.72, testacc=82.78 |▌         | 1:42:13, 32.62s/it 
[epoch 13/200] loss:0.57, lr:0.06937, trainacc=79.72, testacc=82.78 |▋         | 1:37:16, 31.21s/it 
[epoch 14/200] loss:0.55, lr:0.05750, trainacc=79.96, testacc=82.65 |▋         | 1:37:16, 31.21s/it 
[epoch 14/200] loss:0.55, lr:0.05750, trainacc=79.96, testacc=82.65 |▋         | 1:29:11, 28.77s/it 
[epoch 15/200] loss:0.52, lr:0.04562, trainacc=82.43, testacc=83.67 |▋         | 1:29:11, 28.77s/it 
[epoch 15/200] loss:0.52, lr:0.04562, trainacc=82.43, testacc=83.67 |▊         | 1:23:18, 27.02s/it 
[epoch 16/200] loss:0.48, lr:0.03375, trainacc=81.21, testacc=83.11 |▊         | 1:23:18, 27.02s/it 
[epoch 16/200] loss:0.48, lr:0.03375, trainacc=81.21, testacc=83.11 |▊         | 1:19:26, 25.90s/it 
[epoch 17/200] loss:0.44, lr:0.02188, trainacc=84.05, testacc=85.18 |▊         | 1:19:26, 25.90s/it 
[epoch 17/200] loss:0.44, lr:0.02188, trainacc=84.05, testacc=85.18 |▊         | 1:16:38, 25.13s/it 
[epoch 18/200] loss:0.40, lr:0.01000, trainacc=86.09, testacc=86.78 |▊         | 1:16:38, 25.13s/it 
[epoch 18/200] loss:0.40, lr:0.01000, trainacc=86.09, testacc=86.78 |▉         | 1:14:28, 24.55s/it 
[epoch 19/200] loss:0.34, lr:0.00990, trainacc=88.98, testacc=89.09 |▉         | 1:14:28, 24.55s/it 
[epoch 19/200] loss:0.34, lr:0.00990, trainacc=88.98, testacc=89.09 |▉         | 1:12:55, 24.17s/it 
[epoch 20/200] loss:0.33, lr:0.00980, trainacc=88.97, testacc=89.28 |▉         | 1:12:55, 24.17s/it 
[epoch 20/200] loss:0.33, lr:0.00980, trainacc=88.97, testacc=89.28 |█         | 1:12:14, 24.08s/it 
[epoch 21/200] loss:0.32, lr:0.00970, trainacc=89.43, testacc=89.23 |█         | 1:12:14, 24.08s/it 
[epoch 21/200] loss:0.32, lr:0.00970, trainacc=89.43, testacc=89.23 |█         | 1:11:41, 24.03s/it 
[epoch 22/200] loss:0.31, lr:0.00961, trainacc=89.95, testacc=89.44 |█         | 1:11:41, 24.03s/it 
[epoch 22/200] loss:0.31, lr:0.00961, trainacc=89.95, testacc=89.44 |█         | 1:10:38, 23.81s/it 
[epoch 23/200] loss:0.31, lr:0.00951, trainacc=89.49, testacc=89.77 |█         | 1:10:38, 23.81s/it 
[epoch 23/200] loss:0.31, lr:0.00951, trainacc=89.49, testacc=89.77 |█▏        | 1:09:30, 23.56s/it 
[epoch 24/200] loss:0.30, lr:0.00941, trainacc=89.43, testacc=89.18 |█▏        | 1:09:30, 23.56s/it 
[epoch 24/200] loss:0.30, lr:0.00941, trainacc=89.43, testacc=89.18 |█▏        | 1:08:45, 23.44s/it 
[epoch 25/200] loss:0.30, lr:0.00932, trainacc=90.11, testacc=89.88 |█▏        | 1:08:45, 23.44s/it 
[epoch 25/200] loss:0.30, lr:0.00932, trainacc=90.11, testacc=89.88 |█▎        | 1:08:03, 23.33s/it 
[epoch 26/200] loss:0.29, lr:0.00923, trainacc=89.53, testacc=89.44 |█▎        | 1:08:03, 23.33s/it 
[epoch 26/200] loss:0.29, lr:0.00923, trainacc=89.53, testacc=89.44 |█▎        | 1:07:28, 23.27s/it 
[epoch 27/200] loss:0.29, lr:0.00914, trainacc=90.35, testacc=90.14 |█▎        | 1:07:28, 23.27s/it 
[epoch 27/200] loss:0.29, lr:0.00914, trainacc=90.35, testacc=90.14 |█▎        | 1:07:05, 23.27s/it 
[epoch 28/200] loss:0.29, lr:0.00904, trainacc=90.20, testacc=89.61 |█▎        | 1:07:05, 23.27s/it 
[epoch 28/200] loss:0.29, lr:0.00904, trainacc=90.20, testacc=89.61 |█▍        | 1:06:41, 23.26s/it 
[epoch 29/200] loss:0.29, lr:0.00895, trainacc=90.68, testacc=89.56 |█▍        | 1:06:41, 23.26s/it 
[epoch 29/200] loss:0.29, lr:0.00895, trainacc=90.68, testacc=89.56 |█▍        | 1:06:23, 23.30s/it 
[epoch 30/200] loss:0.29, lr:0.00886, trainacc=90.80, testacc=89.91 |█▍        | 1:06:23, 23.30s/it 
[epoch 30/200] loss:0.29, lr:0.00886, trainacc=90.80, testacc=89.91 |█▌        | 1:05:59, 23.29s/it 
[epoch 31/200] loss:0.28, lr:0.00878, trainacc=89.47, testacc=89.54 |█▌        | 1:05:59, 23.29s/it 
[epoch 31/200] loss:0.28, lr:0.00878, trainacc=89.47, testacc=89.54 |█▌        | 1:06:07, 23.48s/it 
