nohup: ignoring input
======user config========
{'Erase': False,
 'activation': 'ReLU',
 'activation_positive': True,
 'batchsize': 128,
 'datapath': 'default',
 'download': False,
 'log_name': 'no erase',
 'loss': 'CrossEntropyLoss',
 'loss_positive': True,
 'lr': 0.01,
 'max_epoch': 200,
 'mode': 'train',
 'model_chosen': 'simp_ResNet9',
 'num_classes': 10,
 'opt': 'SGD',
 'plot_every_n_loop': 1,
 'scheduler': 'CyclicLR',
 'show_net': False,
 'visualize': True,
 'weight_decay': 0.0005}
==========end============
数据集位置:  /remote-home/jiaxinghua/NNDL_PJ2
Load Time Cost: 6.172386884689331
==> Building model simp_ResNet9..
==> training ..

 |          | ?, ?it/s 
[epoch 1/200] loss:1.50, lr:0.10500, trainacc=56.89, testacc=57.02 |          | ?, ?it/s 2022-04-27 19:09:32.302019: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda-10.1/lib64:/usr/local/cuda-10.1/lib64:
2022-04-27 19:09:32.302069: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.

[epoch 1/200] loss:1.50, lr:0.10500, trainacc=56.89, testacc=57.02 |          | 1:51:06, 33.50s/it 
[epoch 2/200] loss:1.26, lr:0.20000, trainacc=63.81, testacc=63.07 |          | 1:51:06, 33.50s/it 
[epoch 2/200] loss:1.26, lr:0.20000, trainacc=63.81, testacc=63.07 |          | 1:46:53, 32.39s/it 
[epoch 3/200] loss:0.90, lr:0.18813, trainacc=67.11, testacc=64.92 |          | 1:46:53, 32.39s/it 
[epoch 3/200] loss:0.90, lr:0.18813, trainacc=67.11, testacc=64.92 |▏         | 1:43:44, 31.60s/it 
[epoch 4/200] loss:0.74, lr:0.17625, trainacc=71.65, testacc=69.58 |▏         | 1:43:44, 31.60s/it 
[epoch 4/200] loss:0.74, lr:0.17625, trainacc=71.65, testacc=69.58 |▏         | 1:41:20, 31.02s/it 
[epoch 5/200] loss:0.66, lr:0.16438, trainacc=77.89, testacc=76.55 |▏         | 1:41:20, 31.02s/it 
[epoch 5/200] loss:0.66, lr:0.16438, trainacc=77.89, testacc=76.55 |▎         | 1:39:39, 30.66s/it 
[epoch 6/200] loss:0.61, lr:0.15250, trainacc=74.78, testacc=72.60 |▎         | 1:39:39, 30.66s/it 
[epoch 6/200] loss:0.61, lr:0.15250, trainacc=74.78, testacc=72.60 |▎         | 1:39:03, 30.63s/it 
[epoch 7/200] loss:0.56, lr:0.14063, trainacc=76.38, testacc=74.75 |▎         | 1:39:03, 30.63s/it 
[epoch 7/200] loss:0.56, lr:0.14063, trainacc=76.38, testacc=74.75 |▎         | 1:37:33, 30.33s/it 
[epoch 8/200] loss:0.54, lr:0.12875, trainacc=81.64, testacc=80.29 |▎         | 1:37:33, 30.33s/it 
[epoch 8/200] loss:0.54, lr:0.12875, trainacc=81.64, testacc=80.29 |▍         | 1:36:52, 30.27s/it 
[epoch 9/200] loss:0.50, lr:0.11687, trainacc=81.43, testacc=79.78 |▍         | 1:36:52, 30.27s/it 
[epoch 9/200] loss:0.50, lr:0.11687, trainacc=81.43, testacc=79.78 |▍         | 1:35:57, 30.15s/it 
[epoch 10/200] loss:0.48, lr:0.10500, trainacc=71.42, testacc=69.21 |▍         | 1:35:57, 30.15s/it 
[epoch 10/200] loss:0.48, lr:0.10500, trainacc=71.42, testacc=69.21 |▌         | 1:34:44, 29.92s/it 
[epoch 11/200] loss:0.45, lr:0.09312, trainacc=81.97, testacc=80.53 |▌         | 1:34:44, 29.92s/it 
[epoch 11/200] loss:0.45, lr:0.09312, trainacc=81.97, testacc=80.53 |▌         | 1:25:55, 27.28s/it 
[epoch 12/200] loss:0.43, lr:0.08125, trainacc=83.96, testacc=81.46 |▌         | 1:25:55, 27.28s/it 
[epoch 12/200] loss:0.43, lr:0.08125, trainacc=83.96, testacc=81.46 |▌         | 1:19:43, 25.44s/it 
[epoch 13/200] loss:0.41, lr:0.06937, trainacc=84.56, testacc=82.03 |▌         | 1:19:43, 25.44s/it 
[epoch 13/200] loss:0.41, lr:0.06937, trainacc=84.56, testacc=82.03 |▋         | 1:15:34, 24.25s/it 
[epoch 14/200] loss:0.38, lr:0.05750, trainacc=85.01, testacc=82.30 |▋         | 1:15:34, 24.25s/it 
[epoch 14/200] loss:0.38, lr:0.05750, trainacc=85.01, testacc=82.30 |▋         | 1:12:35, 23.42s/it 
[epoch 15/200] loss:0.35, lr:0.04562, trainacc=88.20, testacc=85.27 |▋         | 1:12:35, 23.42s/it 
[epoch 15/200] loss:0.35, lr:0.04562, trainacc=88.20, testacc=85.27 |▊         | 1:10:29, 22.86s/it 
[epoch 16/200] loss:0.31, lr:0.03375, trainacc=89.32, testacc=86.29 |▊         | 1:10:29, 22.86s/it 
[epoch 16/200] loss:0.31, lr:0.03375, trainacc=89.32, testacc=86.29 |▊         | 1:08:52, 22.46s/it 
[epoch 17/200] loss:0.28, lr:0.02188, trainacc=89.53, testacc=85.98 |▊         | 1:08:52, 22.46s/it 
[epoch 17/200] loss:0.28, lr:0.02188, trainacc=89.53, testacc=85.98 |▊         | 1:07:43, 22.20s/it 
[epoch 18/200] loss:0.24, lr:0.01000, trainacc=93.13, testacc=88.81 |▊         | 1:07:43, 22.20s/it 
[epoch 18/200] loss:0.24, lr:0.01000, trainacc=93.13, testacc=88.81 |▉         | 1:06:48, 22.02s/it 
[epoch 19/200] loss:0.19, lr:0.00990, trainacc=94.59, testacc=90.02 |▉         | 1:06:48, 22.02s/it 
[epoch 19/200] loss:0.19, lr:0.00990, trainacc=94.59, testacc=90.02 |▉         | 1:05:54, 21.85s/it 
[epoch 20/200] loss:0.17, lr:0.00980, trainacc=95.25, testacc=90.19 |▉         | 1:05:54, 21.85s/it 
[epoch 20/200] loss:0.17, lr:0.00980, trainacc=95.25, testacc=90.19 |█         | 1:05:10, 21.72s/it 
[epoch 21/200] loss:0.16, lr:0.00970, trainacc=95.33, testacc=90.01 |█         | 1:05:10, 21.72s/it 
[epoch 21/200] loss:0.16, lr:0.00970, trainacc=95.33, testacc=90.01 |█         | 1:04:24, 21.59s/it 
[epoch 22/200] loss:0.15, lr:0.00961, trainacc=95.68, testacc=90.36 |█         | 1:04:24, 21.59s/it 
[epoch 22/200] loss:0.15, lr:0.00961, trainacc=95.68, testacc=90.36 |█         | 1:03:37, 21.44s/it 
[epoch 23/200] loss:0.15, lr:0.00951, trainacc=95.38, testacc=89.93 |█         | 1:03:37, 21.44s/it 
[epoch 23/200] loss:0.15, lr:0.00951, trainacc=95.38, testacc=89.93 |█▏        | 1:02:57, 21.34s/it 
[epoch 24/200] loss:0.14, lr:0.00941, trainacc=95.91, testacc=90.24 |█▏        | 1:02:57, 21.34s/it 
[epoch 24/200] loss:0.14, lr:0.00941, trainacc=95.91, testacc=90.24 |█▏        | 1:02:28, 21.30s/it 
[epoch 25/200] loss:0.14, lr:0.00932, trainacc=95.83, testacc=90.16 |█▏        | 1:02:28, 21.30s/it 
[epoch 25/200] loss:0.14, lr:0.00932, trainacc=95.83, testacc=90.16 |█▎        | 1:02:10, 21.32s/it 
[epoch 26/200] loss:0.13, lr:0.00923, trainacc=95.96, testacc=90.20 |█▎        | 1:02:10, 21.32s/it 
[epoch 26/200] loss:0.13, lr:0.00923, trainacc=95.96, testacc=90.20 |█▎        | 1:02:05, 21.41s/it 
[epoch 27/200] loss:0.13, lr:0.00914, trainacc=96.35, testacc=90.26 |█▎        | 1:02:05, 21.41s/it 
[epoch 27/200] loss:0.13, lr:0.00914, trainacc=96.35, testacc=90.26 |█▎        | 1:01:51, 21.45s/it 
[epoch 28/200] loss:0.12, lr:0.00904, trainacc=95.69, testacc=89.91 |█▎        | 1:01:51, 21.45s/it 
[epoch 28/200] loss:0.12, lr:0.00904, trainacc=95.69, testacc=89.91 |█▍        | 1:01:23, 21.42s/it 
[epoch 29/200] loss:0.12, lr:0.00895, trainacc=96.34, testacc=90.00 |█▍        | 1:01:23, 21.42s/it 
[epoch 29/200] loss:0.12, lr:0.00895, trainacc=96.34, testacc=90.00 |█▍        | 1:01:26, 21.56s/it 
[epoch 30/200] loss:0.12, lr:0.00886, trainacc=96.69, testacc=90.45 |█▍        | 1:01:26, 21.56s/it 
[epoch 30/200] loss:0.12, lr:0.00886, trainacc=96.69, testacc=90.45 |█▌        | 1:01:19, 21.64s/it 
[epoch 31/200] loss:0.11, lr:0.00878, trainacc=96.79, testacc=90.36 |█▌        | 1:01:19, 21.64s/it 
[epoch 31/200] loss:0.11, lr:0.00878, trainacc=96.79, testacc=90.36 |█▌        | 1:00:54, 21.62s/it 
